timestamp,count,detections
1756888399.93579,1,"[{'bbox': [[78.6932373046875, 36.315185546875, 1148.3612060546875, 711.6058349609375]], 'confidence': 0.960882842540741, 'class': 0}]"
1756888400.36352,2,"[{'bbox': [[75.1273193359375, 37.1077880859375, 1148.650146484375, 711.5018310546875]], 'confidence': 0.9588091969490051, 'class': 0}]"
1756888400.632088,3,"[{'bbox': [[72.029052734375, 35.02655029296875, 1147.1513671875, 711.7002563476562]], 'confidence': 0.9600382447242737, 'class': 0}]"
1756888401.084845,4,"[{'bbox': [[71.1376953125, 33.99072265625, 1144.056884765625, 711.913818359375]], 'confidence': 0.9606212973594666, 'class': 0}]"
1756888401.306827,5,"[{'bbox': [[79.1385498046875, 31.095458984375, 1204.7740478515625, 711.5576171875]], 'confidence': 0.9627575874328613, 'class': 0}]"
1756888401.5740302,6,"[{'bbox': [[81.946533203125, 31.61175537109375, 1275.1865234375, 710.6226806640625]], 'confidence': 0.9603261947631836, 'class': 0}]"
1756888401.843148,7,"[{'bbox': [[97.91690063476562, 35.5592041015625, 976.9322509765625, 711.101806640625]], 'confidence': 0.9583778977394104, 'class': 0}, {'bbox': [[1058.0662841796875, 573.215087890625, 1143.9327392578125, 716.4261474609375]], 'confidence': 0.7556800246238708, 'class': 0}, {'bbox': [[1095.169189453125, 642.79296875, 1160.1923828125, 719.656005859375]], 'confidence': 0.5357596278190613, 'class': 56}]"
1756888402.0932171,8,"[{'bbox': [[121.2755126953125, 86.4295654296875, 912.062255859375, 712.0436401367188]], 'confidence': 0.9495528340339661, 'class': 0}, {'bbox': [[1056.5496826171875, 573.4093017578125, 1145.3302001953125, 718.4765625]], 'confidence': 0.7938137054443359, 'class': 0}, {'bbox': [[66.34257507324219, 670.4525146484375, 156.1682586669922, 719.1060791015625]], 'confidence': 0.5517868995666504, 'class': 56}]"
1756888402.4200902,9,"[{'bbox': [[127.284912109375, 158.39398193359375, 797.773681640625, 711.1083984375]], 'confidence': 0.9518001675605774, 'class': 0}, {'bbox': [[1056.5478515625, 573.7041015625, 1144.82958984375, 716.81982421875]], 'confidence': 0.7707427740097046, 'class': 0}, {'bbox': [[4.5811920166015625, 670.210693359375, 160.3528289794922, 718.452880859375]], 'confidence': 0.6139826774597168, 'class': 56}, {'bbox': [[759.5550537109375, 601.00390625, 874.8702392578125, 684.4248046875]], 'confidence': 0.5968217253684998, 'class': 62}, {'bbox': [[1098.1019287109375, 643.9446411132812, 1161.0887451171875, 719.5335083007812]], 'confidence': 0.5757973790168762, 'class': 56}]"
1756888402.741174,10,"[{'bbox': [[222.54388427734375, 200.14874267578125, 814.4597778320312, 711.1666870117188]], 'confidence': 0.9505056738853455, 'class': 0}, {'bbox': [[1056.4163818359375, 574.31884765625, 1145.7869873046875, 719.0626220703125]], 'confidence': 0.7627518773078918, 'class': 0}]"
1756888403.0118961,11,"[{'bbox': [[273.7362365722656, 208.87535095214844, 872.4420166015625, 711.3472900390625]], 'confidence': 0.9536060094833374, 'class': 0}, {'bbox': [[1056.592041015625, 574.3642578125, 1145.715087890625, 719.180908203125]], 'confidence': 0.7776336073875427, 'class': 0}, {'bbox': [[1099.123046875, 643.857177734375, 1160.8251953125, 719.7972412109375]], 'confidence': 0.6084898114204407, 'class': 56}]"
